QueryId,DocumentId
1,57
1,53
1,51
1,28
2,165
2,153
2,125
3,201
3,198
4,398
4,359
4,360
5,418
6,539
6,523
6,497
7,675
7,629
8,726
8,763
8,734
9,902
9,820
9,899
10,932
10,930
10,931
10,984
11,1096
11,1015
11,1023
11,1056
12,1194
12,1152
12,1177
12,1112
13,1282
13,1220
13,1259
14,1364
15,1456
15,1486
15,1439
16,1541
16,1590
16,1553
16,1523
16,1543
17,1645
17,1638
18,1729
18,1742
19,1794
19,1864
20,1920
20,1972
20,1880
20,1968
20,1897
21,2060
21,2022
21,1984
21,1989
22,2081
22,2085
23,2216
23,2189
24,2327
24,2337
24,2388
25,2474
26,2585
26,2506
26,2521
27,2676
27,2673
27,2656
27,2603
28,2717
28,2757
28,2770
30,2951
31,3035
31,3004
31,2994
32,3147
33,3238
34,3292
34,3360
34,3337
34,3354
34,3339
35,3385
35,3369
36,3552
36,3549
36,3511
37,3583
38,3683
38,3690
38,3692
38,3693
39,3708
39,3703
39,3718
39,3713
40,3787
40,3826
40,3800
41,3885
41,3902
41,3887
41,3918
41,3912
41,3891
42,4022
42,3980
42,4011
43,4026
43,4086
43,4104
43,4116
43,4057
44,4137
44,4158
44,4165
44,4220
44,4205
45,4318
45,4236
45,4301
45,4302
46,4347
47,4516
47,4490
47,4501
48,4598
48,4560
48,4525
49,4672
50,4820
50,4781
50,4765
50,4745
51,4866
51,4905
51,4854
51,4903
51,4923
52,5030
52,4953
53,5067
53,5125
53,5093
53,5110
53,5127
54,5157
54,5149
54,5153
54,5147
54,5150
55,5243
55,5186
55,5188
56,5309
57,5397
57,5427
57,5452
58,5559
58,5494
58,5541
59,5598
59,5580
59,5600
59,5609
60,5687
60,5734
60,5730
60,5690
61,5762
62,5906
62,5895
62,5916
64,6055
65,6181
65,6231
65,6233
65,6174
65,6177
65,6215
65,6156
66,6302
66,6308
66,6261
66,6247
66,6251
67,6309
67,6323
67,6361
68,6494
68,6426
69,6542
70,6641
70,6702
71,6801
71,6791
71,6802
72,6882
72,6845
73,6953
73,6940
73,6929
73,6987
73,6975
73,6931
73,6946
74,7084
74,7047
74,7060
74,7029
74,7064
75,7173
75,7125
76,7204
76,7214
76,7219
76,7272
77,7332
77,7346
77,7344
77,7382
77,7350
78,7425
78,7417
78,7483
78,7447
79,7516
80,7557
80,7617
80,7567
80,7542
81,7652
81,7708
81,7629
81,7628
81,7670
82,7808
82,7793
82,7773
83,7863
83,7845
83,7885
84,7953
84,7952
85,8124
85,8034
85,8087
85,8035
86,8129
86,8135
86,8154
87,8226
87,8258
87,8295
87,8227
88,8405
88,8349
88,8322
88,8344
89,8505
89,8486
89,8522
89,8474
89,8464
89,8436
90,8600
90,8557
90,8581
90,8587
90,8583
90,8570
91,8700
91,8639
92,8753
92,8758
93,8851
93,8815
93,8863
93,8868
94,8992
94,8976
95,9003
95,9026
95,9014
96,9127
96,9148
96,9146
96,9190
96,9122
96,9118
97,9204
97,9225
98,9333
98,31352
100,9517
100,9582
100,9557
100,9574
100,9576
101,9705
101,9621
101,9666
102,9770
102,9724
103,9909
103,9891
103,9900
103,9884
105,10042
106,10150
106,10158
107,10296
108,10331
108,10355
108,10326
109,10446
109,10470
109,10421
110,10588
110,10540
110,10529
110,10537
111,10691
111,10669
111,10647
111,10661
111,10646
111,10689
112,10781
112,10734
112,10750
112,10741
113,10815
113,10902
113,10854
114,10978
114,10922
114,11010
115,11060
115,11046
115,11050
115,11037
115,11042
117,11268
117,11218
117,11203
117,11230
117,11258
118,11287
118,11298
118,11301
118,11288
118,11351
118,11306
119,11385
119,11438
119,11419
119,11473
120,11498
120,11560
120,11543
121,11616
121,11641
121,11687
121,11604
121,11647
122,11715
122,11784
122,11742
123,11798
123,11808
123,11816
123,11851
123,11836
123,11812
124,11944
124,11940
124,11930
124,11895
124,11962
124,11920
125,11971
125,12046
125,11980
125,12047
126,12135
126,12126
126,12110
